0 n,1 internet,2 tv,3 number of tv,4a payment for internet,4b payment for tv,4c payment for all,5 apartment or house
1.01,Ростелеком,Триколор,3,800,1200,0,ap
1.02,Мегафон,Мегафон,2,0,0,860,ap
1.03,Мегафон,Триколор,2,400,1200,0,ap
1.04,Теле2,-,0,200,0,0,ap
1.05,Теле2,Триколор,1,300,1000,0,ap
1.06,Мега Линк,Триколор,1,550,1300,0,ap
1.07,-,Триколор,1,0,1200,0,ap
1.08,-,Триколор,2,0,1200,0,ap
1.09,-,антенна,1,0,0,0,ho
1.10,-,антенна,1,0,0,0,ap
1.11,-,антенна,2,0,0,0,ap
1.12,-,антенна,2,0,0,0,ap
1.13,-,антенна,1,0,0,0,ap
1.14,Мега Линк,Триколор,1,550,1200,0,ap
1.15,Ростелеком,Триколор,3,550,1200,0,ap
1.16,-,Триколор,3,0,1200,0,ap
1.17,МТС,Триколор,1,650,1200,0,ap
1.18,Ростелеком,Триколор,1,800,1200,0,ap
1.19,-,Триколор,0,0,0,0,ap
1.20,-,антенна,1,0,0,0,ap
2.01,Ростелеком,Триколор,2,980,1200,0,ho
2.02,Ростелеком,Триколор,2,700,1200,0,ap
2.03,Мега Линк,Триколор,1,550,250,0,ap
2.04,-,Триколор,1,0,250,0,ap
2.05,МТС,Триколор,3,700,1200,0,ho
2.06,Ростелеком,Ростелеком,1,0,0,1000,ap
2.07,Ростелеком,Ростелеком,2,0,0,700,ap
2.08,Мегафон,Триколор,2,700,1200,0,ap
2.09,Мегафон,Триколор,2,400,1200,0,ap
2.10,Ростелеком,Триколор,2,750,1200,0,ap
2.11,-,Триколор,1,0,1200,0,ap
2.12,Ростелеком,Триколор,1,670,1200,0,ap
2.13,Ростелеком,Триколор,1,490,1200,0,ap
2.14,-,Триколор,1,0,1200,0,ap
2.15,Ростелеком,-,0,500,0,0,ap
2.16,Мегафон,антенна,2,350,0,0,ho
2.17,МТС,Триколор,2,350,1200,0,ap
2.18,Ростелеком,Триколор,2,600,2000,0,ap
2.19,Мегафон,Триколор,0,550,1200,0,ap
2.20,-,Триколор,2,0,1200,0,ho
3.01,Мегафон,антенна,1,330,0,0,ho
3.02,Мегафон,Триколор,4,650,1200,0,ho
3.03,Ростелеком,Триколор,3,800,1200,0,ap
3.04,Ростелеком,-,0,520,0,0,ap
3.05,Ростелеком,Триколор,1,400,1200,0,ap
3.06,Ростелеком,Триколор,1,360,1200,0,ap
3.07,Ростелеком,Триколор,2,550,2400,0,ap
3.08,Ростелеком,спутниковое ТВ,2,600,1200,0,ap
3.09,-,антенна,2,0,0,0,ho
3.10,Ростелеком,Триколор,2,450,1200,0,ap
3.11,Ростелеком,Триколор,1,500,1200,0,ho
3.12,-,Триколор,1,0,1200,0,ap
3.13,Ростелеком,Ростелеком,1,0,0,810,ap
3.14,-,Триколор,1,0,1200,0,ho
3.15,-,Триколор,2,0,1200,0,ap
3.16,Ростелеком,Триколор,2,400,1200,0,ap
3.17,-,Триколор,2,0,1200,0,ap
3.18,Ростелеком,Ростелеком,1,0,0,1000,ap
3.19,-,антенна,1,0,0,0,ap
3.20,Ростелеком,-,0,500,0,0,ap
4.01,Ростелеком,Ростелеком,2,0,0,700,ap
4.02,Ростелеком,Триколор,2,490,1200,0,ap
4.03,Билайн,-,0,250,0,0,ap
4.04,Ростелеком,Ростелеком,1,0,0,970,ap
4.05,Ростелеком,-,0,700,0,0,ap
4.06,Ростелеком,Ростелеком,0,0,0,700,ap
4.07,-,Триколор,1,0,1200,0,ap
4.08,Ростелеком,-,0,500,0,0,ap
4.09,-,Триколор,2,0,2000,0,ap
4.10,-,Триколор,1,0,1200,0,ho
4.11,-,Триколор,2,0,1200,0,ap
4.12,-,Триколор,2,0,1200,0,ap
4.13,Ростелеком,Триколор,2,550,1200,0,ap
4.14,Мегафон,Триколор,2,600,1200,0,ap
4.15,Ростелеком,Ростелеком,1,0,0,750,ap
